BR:MCF7,BR:MDA-MB-231,BR:HS 578T,BR:BT-549,BR:T-47D,CNS:SF-268,CNS:SF-295,CNS:SF-539,CNS:SNB-19,CNS:SNB-75,CNS:U251,CO:COLO 205,CO:HCC-2998,CO:HCT-116,CO:HCT-15,CO:HT29,CO:KM12,CO:SW-620,LE:CCRF-CEM,LE:HL-60(TB),LE:K-562,LE:MOLT-4,LE:RPMI-8226,LE:SR,ME:LOX IMVI,ME:MALME-3M,ME:M14,ME:SK-MEL-2,ME:SK-MEL-28,ME:SK-MEL-5,ME:UACC-257,ME:UACC-62,ME:MDA-MB-435,ME:MDA-N,LC:A549/ATCC,LC:EKVX,LC:HOP-62,LC:HOP-92,LC:NCI-H226,LC:NCI-H23,LC:NCI-H322M,LC:NCI-H460,LC:NCI-H522,OV:IGROV1,OV:OVCAR-3,OV:OVCAR-4,OV:OVCAR-5,OV:OVCAR-8,OV:SK-OV-3,OV:NCI/ADR-RES,PR:PC-3,PR:DU-145,RE:786-0,RE:A498,RE:ACHN,RE:CAKI-1,RE:RXF 393,RE:SN12C,RE:TK-10,RE:UO-31
5.614,3.211,-,2.834,4.741,-,3.829,6.079,4.065,-,4.289,5.236,5.416,5.196,5.048,-,4.682,4.206,4.244,4.962,4.788,4.822,4.705,5.815,4.97,-,4.513,3.938,4.25,5.399,3.47,4.765,4.819,-,5.148,4.787,3.588,2.602,5.413,4.715,6.602,5.807,4.828,4.178,4.241,4.108,4.879,4.352,3.406,3.605,4.175,4.371,-,4.643,4.801,4.814,4.714,-,2.602,4.742
5.627,2.846,2.997,3.675,5.338,3.943,3.707,5.024,2.602,4.771,3.964,5.105,3.371,5.245,5.033,4.729,4.406,3.815,5.146,6.004,4.652,4.873,4.647,5.787,4.787,3.58,2.602,3.29,3.439,4.474,4.002,4.588,4.07,2.602,5.008,3.716,2.602,2.602,2.602,4.751,2.602,5.794,4.21,4.322,4.361,3.48,3.981,4.211,2.608,3.579,2.602,4.65,2.602,3.049,4.789,4.69,3.842,2.602,2.97,3.597
5.64,2.602,3.2,5.033,4.26,4.137,4.191,4.829,2.602,3.845,4.27,4.768,5.817,5.425,5.122,5.372,4.853,3.935,4.003,3.759,4.408,4.713,4.647,-,4.766,4.202,2.605,3.223,2.805,4.175,4.648,4.903,4.792,4.903,5.092,4.589,4.684,2.602,3.501,4.663,5.206,5.96,4.236,3.855,4.382,4.35,4.328,3.873,3.962,3.735,4.142,4.893,5.031,4.978,4.981,5.032,4.283,5.327,3.493,5.618
5.822,3.87,3.64,5.204,4.912,4.128,-,5.365,3.767,-,4.679,5.096,-,5.101,5.18,5.163,4.723,4.453,4.106,4.172,4.97,5.162,-,6.096,4.834,4.03,3.274,4.371,3.881,5.259,4.661,4.438,4.596,3.137,5.275,2.602,3.74,2.602,3.405,4.7,-,6.019,4.447,3.587,4.72,3.704,3.139,4.32,3.414,3.906,4.166,4.875,4.839,5.599,4.87,4.894,4.239,3.952,4.914,4.646
5.719,3.413,3.093,2.602,4.766,4.238,3.725,5.231,2.602,4.2,4.801,5.344,6.487,6.004,4.926,4.627,4.582,4.786,5.018,5.05,3.47,4.796,4.538,5.784,4.785,4.631,4.607,4.489,4.206,4.955,4.723,5.769,4.73,4.982,5.054,2.602,2.602,2.602,2.602,5.053,3.32,5.664,4.402,4.013,3.787,3.661,2.904,4.71,2.602,3.678,4.957,5.027,3.96,4.77,5.085,4.247,4.783,4.562,4.949,4.958
5.666,3.361,4.886,5.46,3.852,4.41,3.988,5.006,3.426,3.28,4.607,4.943,5.709,5.112,5.234,4.777,5.045,4.284,4.313,4.27,4.797,4.787,4.759,-,4.926,5.056,4.172,3.601,3.814,4.637,4.046,4.442,5.197,5.328,5.656,4.468,3.485,2.602,2.827,4.31,4.286,6.103,4.803,4.021,4.445,4.644,3.265,3.521,3.263,3.999,3.996,4.635,4.876,4.652,4.87,5.324,3.503,4.922,3.651,5.646
5.584,2.602,3.965,-,3.891,4.261,4.427,5.686,4.084,3.36,4.01,4.961,5.717,5.196,5.022,4.974,4.844,4.242,4.612,5.144,4.738,4.015,3.89,5.372,4.82,4.766,4.703,2.602,4.071,4.781,4.098,4.242,5.084,5.462,5.379,4.117,4.254,3.307,4.28,3.534,4.769,5.851,4.83,4.819,4.954,3.813,2.999,4.436,4.354,3.326,3.787,4.808,5.142,2.92,4.763,4.828,3.932,4.796,2.697,5.686
5.711,3.193,2.602,3.164,3.827,3.745,3.835,3.751,3.903,4.276,5.021,4.719,-,5.206,5.01,5.053,5.21,3.609,4.278,4.675,4.284,4.878,5.03,5.117,4.999,3.043,4.26,-,2.602,4.514,-,3.752,5.27,5.484,5.388,3.384,4.117,2.602,2.602,3.63,-,5.874,3.616,4.918,4.316,4.369,3.207,4.788,3.182,3.722,-,4.886,5.124,3.524,4.958,4.532,3.461,4.897,5.905,5.41
5.814,2.602,2.602,4.454,3.2,3.907,4.015,4.222,3.446,-,4.272,4.834,-,5.592,5.551,5.77,5.434,4.338,4.231,3.751,4.644,4.491,5.253,-,4.991,2.89,4.624,5.954,4.388,3.571,5.95,4.345,5.391,-,5.678,4.94,4.162,2.602,2.602,4.706,-,6.077,3.578,4.847,4.544,4.423,4.574,4.63,3.663,4.315,4.478,5.01,5.481,4.169,4.528,5.691,3.807,5.418,6.47,5.693
5.682,2.602,3.802,3.338,5.087,4.39,4.488,5.059,4.092,2.602,4.373,5.364,4.895,5.085,5.035,5.013,5.047,4.219,3.308,3.505,4.259,4.913,-,5.543,3.432,4.022,4.608,4.056,2.602,5.545,4.409,4.351,5.131,5.163,5.421,3.801,4.069,3.588,5.243,3.563,4.878,5.935,4.501,3.383,5.862,4.623,3.29,3.185,3.503,3.484,3.963,4.801,4.856,5.061,4.903,4.825,5.355,4.591,-,5.343
5.892,2.602,2.602,4.094,4.364,3.721,3.701,5.102,3.976,3.483,3.687,4.942,-,4.625,4.837,5.075,5.351,3.714,4.993,4.238,3.475,4.985,5.471,5.743,4.812,3.123,4.837,2.602,4.134,4.276,4.729,4.725,5.638,4.651,5.775,3.517,4.603,3.005,2.602,4.555,5.194,6.329,3.846,4.628,4.035,5.021,2.935,4.79,2.602,4.293,3.515,5.211,3.667,4.615,5.19,5.639,4.221,3.75,3.415,5.636
